"The Life Aquatic with Steve Zissou","2004","421"
"In Good Company","2004","1901"
"White Noise","2005","11804"
"Coach Carter","2005","7214"
"Elektra","2005","9947"
"Racing Stripes","2005","6439"
"Assault on Precinct 13","2005","8978"
"Are We There Yet?","2005","11637"
"Alone in the Dark","2005","12142"
"Hide and Seek","2005","11096"
"Boogeyman","2005","8968"
"The Wedding Date","2005","6961"
"Hitch","2005","8488"
"Pooh's Heffalump Movie","2005","13682"
"Because of Winn-Dixie","2005","17880"
"Constantine","2005","561"
"Son of the Mask","2005","10214"
"Cursed","2005","10012"
"Diary of a Mad Black Woman","2005","16186"
"Man of the House","2005","13498"
"Be Cool","2005","4551"
"The Jacket","2005","9667"
"The Pacifier","2005","10022"
"Hostage","2005","2026"
"Robots","2005","9928"
"Ice Princess","2005","13374"
"The Ring Two","2005","10320"
"Miss Congeniality 2: Armed and Fabulous","2005","10040"
"Guess Who","2005","11638"
"Valiant","2005","14175"
"Beauty Shop","2005","14177"
"Sin City","2005","187"
"The Upside of Anger","2005","11354"
"Fever Pitch","2005","11431"
"Sahara","2005","7364"
"State Property 2","2005","13409"
"The Amityville Horror","2005","10065"
"The Interpreter","2005","179"
"King's Ransom","2005","27360"
"A Lot like Love","2005","8976"
"The Hitchhiker's Guide to the Galaxy","2005","7453"
"XXX: State of the Union","2005","11679"
"Crash","2005","1640"
"House of Wax","2005","10066"
"Jiminy Glick in Lalawood","2005","67445"
"Kingdom of Heaven","2005","1495"
"Kicking & Screaming","2005","9981"
"Mad Hot Ballroom","2005","14358"
"Mindhunters","2005","16617"
"Monster-in-Law","2005","4379"
"Unleashed","2005","10027"
"Star Wars: Episode III – Revenge of the Sith","2005","1895"
"Dominion: Prequel to the Exorcist","2005","12700"
"The Longest Yard","2005","9291"
"Madagascar","2005","953"
"The Sisterhood of the Traveling Pants","2005","9779"
"Amatemi","2005","156591"
"Cinderella Man","2005","921"
"The League of Gentlemen's Apocalypse","2005","19723"
"Lords of Dogtown","2005","9787"
"The Adventures of Sharkboy and Lavagirl in 3-D","2005","14199"
"The Honeymooners","2005","21295"
"Mr. & Mrs. Smith","2005","787"
"Batman Begins","2005","272"
"The Perfect Man","2005","15648"
"Herbie: Fully Loaded","2005","11451"
"Bewitched","2005","9722"
"Land of the Dead","2005","11683"
"War of the Worlds","2005","74"
"Rebound","2005","7233"
"Yakeen","2005","136688"
"Dark Water","2005","9009"
"Fantastic Four","2005","9738"
"Charlie and the Chocolate Factory","2005","118"
"Wedding Crashers","2005","9522"
"Bad News Bears","2005","13341"
"The Devil's Rejects","2005","1696"
"Hustle & Flow","2005","10476"
"The Island","2005","1635"
"March of the Penguins","2005","1667"
"Must Love Dogs","2005","11648"
"Sky High","2005","11459"
"Stealth","2005","10048"
"The Dukes of Hazzard","2005","6519"
"Deuce Bigalow: European Gigolo","2005","11453"
"Four Brothers","2005","8292"
"The Great Raid","2005","13922"
"The Skeleton Key","2005","9913"
"Supercross","2005","17186"
"The 40-Year-Old Virgin","2005","6957"
"Red Eye","2005","11460"
"The Brothers Grimm","2005","4442"
"The Cave","2005","9042"
"Undiscovered","2005","17926"
"The Constant Gardener","2005","1985"
"A Sound of Thunder","2005","10077"
"Transporter 2","2005","9335"
"Underclassman","2005","19803"
"Thumbsucker","2005","1546"
"The Exorcism of Emily Rose","2005","8643"
"The Man","2005","9074"
"An Unfinished Life","2005","1947"
"Cry Wolf","2005","10092"
"Just Like Heaven","2005","9007"
"Lord of War","2005","1830"
"Venom","2005","7182"
"Corpse Bride","2005","3933"
"Dirty Love","2005","18189"
"Flightplan","2005","9315"
"Roll Bounce","2005","14544"
"Capote","2005","398"
"The Greatest Game Ever Played","2005","15487"
"A History of Violence","2005","59"
"Into the Blue","2005","11968"
"Little Manhattan","2005","16553"
"Oliver Twist","2005","257"
"Serenity","2005","16320"
"Wallace & Gromit: The Curse of the Were-Rabbit","2005","533"
"The Gospel","2005","25517"
"In Her Shoes","2005","11931"
"Two for the Money","2005","9910"
"Waiting...","2005","7553"
"Domino","2005","9923"
"Elizabethtown","2005","9621"
"The Fog","2005","791"
