"14844","tt0360139","Chasing Liberty","2004-01-09 00:00:00","6.2","326","","111","Comedy, Romance","12"
"26710","tt0332712","My Baby's Daddy","2004-01-09 00:00:00","4.0","27","","86","Comedy","51"
"5966","tt0343135","Along Came Polly","2004-01-16 00:00:00","5.9","1558","","90","Comedy, Romance","171963386"
"24034","tt0350194","Teacher's Pet","2004-01-16 00:00:00","5.9","11","","74","Animation, Drama, Family, Music","0"
"10718","tt0329691","Torque","2004-01-16 00:00:00","4.7","241","","84","Action","46546197"
"12634","tt0315824","The Big Bounce","2004-01-30 00:00:00","5.0","128","","88","Comedy, Crime","6808550"
"13505","tt0314498","The Perfect Score","2004-01-30 00:00:00","5.7","254","","93","Comedy, Crime","0"
"14114","tt0365957","You Got Served","2004-01-30 00:00:00","5.2","135","","95","Drama, Music","0"
"21301","tt0337579","Barbershop 2:  Back in Business","2004-01-20 00:00:00","5.7","126","","106","Comedy, Drama","65070412"
"20483","tt0337917","Catch That Kid","2004-02-06 00:00:00","5.3","159","","92","Family, Action, Adventure","16702864"
"14292","tt0349825","Miracle","2004-02-06 00:00:00","7.1","288","","135","Drama, History","64445708"
"23056","tt0332318","Pinocchio 3000","2004-05-14 00:00:00","3.9","67","","80","Animation, Family, Science Fiction","0"
"1824","tt0343660","50 First Dates","2004-02-13 00:00:00","6.7","4303","","99","Comedy, Romance","196482882"
"8842","tt0312329","Against the Ropes","2004-02-20 00:00:00","5.0","51","","106","Romance, Drama","6614280"
"11132","tt0361467","Confessions of a Teenage Drama Queen","2004-02-17 00:00:00","5.3","533","","89","Comedy","29331068"
"9352","tt0356150","EuroTrip","2004-02-20 00:00:00","6.5","1275","","93","Comedy","20796847"
"16784","tt0361925","Welcome to Mooseport","2004-02-24 00:00:00","5.1","84","","110","Comedy","14000000"
"615","tt0335345","The Passion of the Christ","2004-02-25 00:00:00","7.1","1814","","127","Drama","611899420"
"11217","tt0331953","Club Dread","2004-02-27 00:00:00","5.1","178","","104","Comedy, Horror","5001655"
"13572","tt0315297","Twisted","2004-02-27 00:00:00","5.4","242","","97","Action, Adventure, Crime, Drama, Thriller","25195000"
"2023","tt0317648","Hidalgo","2004-02-04 00:00:00","6.6","574","","136","Western, Adventure","108103450"
"9384","tt0335438","Starsky & Hutch","2004-03-05 00:00:00","5.7","1264","","101","Comedy, Crime","170268750"
"17047","tt0358349","Agent Cody Banks 2: Destination London","2004-03-12 00:00:00","5.2","306","","100","Comedy, Action, Adventure, Family","28818995"
"1586","tt0363988","Secret Window","2004-03-12 00:00:00","6.5","2015","","96","Mystery, Thriller","92913171"
